Gender,Height,Weight,Muscle,Brain
Female,165.65,35.41,77.84042,172.427131
Female,148.53,74.45,89.15866,190.908108
Male,167.04,81.22,96.85622,203.1408947
Male,161.54,71.47,91.41947,194.5273849
Male,174.31,78.18,97.56003,204.2469914
Female,143.05,79.27,89.65724,191.7082259
Female,149.16,63.71,84.95569,184.1179275
Female,155.8,86.01,95.80467,201.4845425
Female,145.37,88.33,93.9641,198.5743698
Male,162.56,87.36,98.15904,205.1868153
Male,163.84,78.58,94.92734,200.0991334
Male,172.73,88.08,101.16747,209.8854781
Female,142.03,56.3,80.03611,176.0622321
Female,150.17,53.46,81.05361,177.7382893
Male,188.62,60.95,94.36819,199.2144988
Male,184.62,72.51,98.00511,204.9454422
Male,168.43,86.8,99.49841,207.2830688
Male,171.19,54.12,86.93457,187.3251577
Female,137.1,73.36,85.66322,185.2667659
Female,149.42,69.2,87.25954,187.8500926
Female,147.33,56.01,81.33318,178.1978824
Male,175.14,107.25,109.61313,222.8941439
Male,168.04,92.24,101.60836,210.5711192
Male,158.54,64.44,87.75726,188.6531301
Female,138.9,68.75,84.26755,182.9982765
Female,129.27,58.43,77.4961,171.8547773
Female,173.64,59.52,89.78652,191.9155118
Male,175.26,62.65,91.49297,194.6446711
Male,180.09,44.07,85.22052,184.5482193
Female,144.58,83.36,91.73038,195.0233528
Male,178.76,66.12,93.83976,198.3772613
Male,151.53,91.02,96.70365,202.9008535
Male,168.55,80.2,96.84425,203.1220655
Male,160.86,63.68,88.06738,189.1529119
Male,183.83,62.75,93.82186,198.3488802
Male,179.27,50.04,87.43137,188.1274578
Male,158.89,60.49,86.24306,186.2065022
Female,124.37,74.57,82.75678,180.532091
Female,140.42,54.64,78.93062,174.2351846
Male,155.06,84.34,94.9274,200.0992282
Male,166.62,75.18,94.2858,199.0840384
Male,172.96,78.39,97.28505,203.8150754
Male,174.34,84.76,100.2461,208.4502107
Female,165.09,83.54,97.27981,203.8068419
Female,138.09,63.06,81.73545,178.8584931
Female,141.31,52.13,78.14668,172.9356868
Male,162.63,65.25,89.17896,190.9407071
Male,178.49,73.67,96.84052,203.116198
Male,165.95,52.42,84.84359,183.9356882
Female,156.92,54.45,83.25879,181.3528125
Female,135.28,63.91,81.33113,178.1945137
Female,145.79,68.34,85.94031,185.7160384
Male,153.9,77.5,91.8338,195.1882366
Male,171.09,87.8,100.61563,209.0262418
Female,142.89,73.04,87.07891,187.5583754
Female,159.81,61.4,86.85907,187.2031298
Female,130.32,52.81,75.48911,168.5058384
Male,162.79,94.37,101.07352,209.7392773
Male,202.67,110.01,118.08696,235.6965257
Male,171.81,82.74,98.74845,206.1101786
Male,164.36,70.33,91.70843,194.9883517
Male,166.39,43.02,81.13527,177.8725734
Female,135.27,54.87,77.64918,172.1093163
Female,146.8,57.93,81.97311,179.2483981
Male,147.48,73.7,88.57306,189.9669109
Male,161.79,43.37,80.04952,176.0843559
Male,173.46,98.82,105.73356,216.9508546
Male,162.64,63.9,88.63218,190.0620011
Male,185.85,75.22,99.43649,207.1863137
Female,133.58,63.28,80.62082,177.026031
Male,174.4,80.63,98.58121,205.8483226
Male,169,72.22,93.71654,198.1818639
